dateTime,timerName,progNo,iActual2,pha2
2019-08-01 15:30:09.990,ub01l2-timer,101,8.54,43.22
2019-08-01 15:30:54.160,ub01l2-timer,101,8.62,41.93
2019-08-01 15:31:56.200,ub01l2-timer,101,8.55,44.19
2019-08-01 15:33:55.800,ub01l2-timer,101,8.46,42.62
2019-08-01 15:36:29.920,ub01l2-timer,101,8.48,44.42
2019-08-01 15:38:48.390,ub01l2-timer,101,8.49,44.93
2019-08-01 15:41:47.810,ub01l2-timer,101,8.56,42.77
2019-08-01 15:44:10.140,ub01l2-timer,101,8.65,42.59
2019-08-01 15:47:33.170,ub01l2-timer,101,8.53,42.21
2019-08-01 15:59:52.430,ub01l2-timer,101,8.46,44.43
2019-08-01 16:18:13.770,ub01l2-timer,101,8.59,42.04
2019-08-01 16:21:39.240,ub01l2-timer,101,8.55,42.50
2019-08-01 16:22:28.730,ub01l2-timer,101,8.53,42.21
2019-08-01 16:23:28.550,ub01l2-timer,101,8.54,42.50
2019-08-01 16:31:15.860,ub01l2-timer,101,8.59,41.76
2019-08-02 09:06:18.770,ub01l2-timer,101,8.51,40.79
2019-08-02 09:07:30.580,ub01l2-timer,101,8.54,41.26
2019-08-02 09:10:21.760,ub01l2-timer,101,8.58,43.77
2019-08-02 09:11:41.270,ub01l2-timer,101,8.51,44.32
2019-08-02 09:18:32.820,ub01l2-timer,101,8.59,44.38
2019-08-02 09:19:18.200,ub01l2-timer,101,8.49,44.36
2019-08-02 09:20:03.880,ub01l2-timer,101,8.53,44.71
2019-08-02 09:20:50.110,ub01l2-timer,101,8.55,44.31
2019-08-02 09:22:58.690,ub01l2-timer,101,8.48,44.11
2019-08-02 09:23:45.320,ub01l2-timer,101,8.59,42.45
2019-08-02 09:27:03.420,ub01l2-timer,101,8.48,44.41
2019-08-02 09:27:48.170,ub01l2-timer,101,8.55,44.20
2019-08-02 09:28:33.750,ub01l2-timer,101,8.56,42.43
2019-08-02 09:29:21.450,ub01l2-timer,101,8.50,44.01
2019-08-02 09:31:02.790,ub01l2-timer,101,8.57,42.00
2019-08-02 09:33:28.850,ub01l2-timer,101,8.59,42.77
2019-08-02 09:34:11.250,ub01l2-timer,101,8.50,41.41
2019-08-02 09:35:30.500,ub01l2-timer,101,8.59,45.79
2019-08-02 09:37:30.520,ub01l2-timer,101,8.52,44.31
2019-08-02 09:39:44.550,ub01l2-timer,101,8.50,44.28
2019-08-02 09:40:46.700,ub01l2-timer,101,8.56,45.30
2019-08-02 09:42:42.210,ub01l2-timer,101,8.55,44.27
2019-08-02 09:44:25.060,ub01l2-timer,101,8.56,44.71
2019-08-02 09:46:03.580,ub01l2-timer,101,8.52,45.06
2019-08-02 09:47:49.210,ub01l2-timer,101,8.50,43.41
2019-08-02 09:48:57.080,ub01l2-timer,101,8.52,45.90
2019-08-02 09:50:13.300,ub01l2-timer,101,8.49,43.64
2019-08-02 09:51:49.050,ub01l2-timer,101,8.51,42.89
2019-08-02 09:54:02.260,ub01l2-timer,101,8.50,42.40
2019-08-02 09:58:53.330,ub01l2-timer,101,8.52,42.67
2019-08-02 10:04:22.670,ub01l2-timer,101,8.49,42.35
2019-08-02 10:17:13.620,ub01l2-timer,101,8.57,42.24
2019-08-02 10:19:24.700,ub01l2-timer,101,8.64,44.88
2019-08-02 10:20:07.090,ub01l2-timer,101,8.55,45.06
2019-08-02 10:20:49.740,ub01l2-timer,101,8.51,45.02
2019-08-02 10:21:45.230,ub01l2-timer,101,8.55,45.09
2019-08-02 10:22:38.970,ub01l2-timer,101,8.55,42.89
2019-08-02 10:29:04.860,ub01l2-timer,101,8.56,42.64
2019-08-02 10:29:49.080,ub01l2-timer,101,8.49,42.83
2019-08-02 10:30:34.900,ub01l2-timer,101,8.49,42.73
2019-08-02 10:32:49.470,ub01l2-timer,101,8.43,42.79
2019-08-02 10:37:14.160,ub01l2-timer,101,8.58,43.00
2019-08-02 10:38:15.520,ub01l2-timer,101,8.47,45.39
2019-08-02 10:42:52.540,ub01l2-timer,101,8.51,42.39
2019-08-02 10:43:56.380,ub01l2-timer,101,8.55,42.62
2019-08-02 10:47:58.760,ub01l2-timer,101,8.56,42.44
2019-08-02 10:50:40.170,ub01l2-timer,101,8.54,42.03
2019-08-02 11:15:16.980,ub01l2-timer,101,8.52,44.43
2019-08-02 11:57:00.940,ub01l2-timer,101,8.48,43.86
2019-08-02 12:07:11.560,ub01l2-timer,101,8.40,43.67
2019-08-02 12:09:05.860,ub01l2-timer,101,8.45,44.75
2019-08-02 12:11:18.020,ub01l2-timer,101,8.44,45.55
2019-08-02 12:12:00.350,ub01l2-timer,101,8.48,43.15
2019-08-02 12:19:30.630,ub01l2-timer,101,8.48,43.93
2019-08-02 12:20:13.180,ub01l2-timer,101,8.47,44.41
2019-08-02 12:20:59.030,ub01l2-timer,101,8.50,43.95
2019-08-02 12:21:42.800,ub01l2-timer,101,8.50,44.97
